,date,code,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
1004,2023-03-06 11:00:00,TCB,27.2,27.1,27.15,27.149999618530273
1005,2023-03-06 13:00:00,TCB,27.15,27.15,27.2,27.190000534057617
1006,2023-03-06 14:00:00,TCB,27.2,26.7,26.75,27.049999237060547
1007,2023-03-07 09:00:00,TCB,27.4,27.05,27.2,27.239999771118164
1008,2023-03-07 10:00:00,TCB,27.3,27.15,27.2,27.329999923706055
1009,2023-03-07 11:00:00,TCB,27.25,27.15,27.2,27.290000915527344
1010,2023-03-07 13:00:00,TCB,27.25,27.15,27.2,27.209999084472656
1011,2023-03-07 14:00:00,TCB,27.1,27.1,27.15,27.280000686645508
1012,2023-03-08 09:00:00,TCB,26.8,26.8,26.85,26.8799991607666
1013,2023-03-08 10:00:00,TCB,26.9,26.8,26.85,26.899999618530273
1014,2023-03-08 11:00:00,TCB,26.9,26.85,26.9,26.889999389648438
1015,2023-03-08 13:00:00,TCB,27.0,26.85,26.9,26.889999389648438
1016,2023-03-08 14:00:00,TCB,27.3,26.95,27.0,27.100000381469727
1017,2023-03-09 09:00:00,TCB,27.4,27.35,27.4,27.43000030517578
1018,2023-03-09 10:00:00,TCB,27.35,27.25,27.3,27.350000381469727
1019,2023-03-09 11:00:00,TCB,27.3,27.3,27.35,27.299999237060547
1020,2023-03-09 13:00:00,TCB,27.35,27.3,27.35,27.31999969482422
1021,2023-03-09 14:00:00,TCB,27.8,27.35,27.4,27.5
1022,2023-03-10 09:00:00,TCB,27.35,27.3,27.35,27.450000762939453
1023,2023-03-10 10:00:00,TCB,27.3,27.3,27.35,27.360000610351562
1024,2023-03-10 11:00:00,TCB,27.3,27.2,27.25,27.219999313354492
1025,2023-03-10 13:00:00,TCB,27.35,27.0,27.05,27.209999084472656
1026,2023-03-10 14:00:00,TCB,27.15,27.0,27.05,27.25
1027,2023-03-13 09:00:00,TCB,26.85,26.55,26.6,26.639999389648438
1028,2023-03-13 10:00:00,TCB,26.85,26.75,26.8,26.790000915527344
1029,2023-03-13 11:00:00,TCB,26.9,26.85,26.9,26.8799991607666
1030,2023-03-13 13:00:00,TCB,26.8,26.75,26.8,26.8799991607666
1031,2023-03-13 14:00:00,TCB,26.75,26.7,26.75,26.770000457763672
1032,2023-03-14 09:00:00,TCB,26.7,26.65,26.7,26.65999984741211
1033,2023-03-14 10:00:00,TCB,26.65,26.65,26.7,26.68000030517578
1034,2023-03-14 11:00:00,TCB,26.65,26.6,26.65,26.6299991607666
1035,2023-03-14 13:00:00,TCB,26.5,26.4,26.45,26.59000015258789
1036,2023-03-14 14:00:00,TCB,26.3,26.3,26.35,26.450000762939453
1037,2023-03-15 09:00:00,TCB,26.9,26.8,26.9,26.90999984741211
1038,2023-03-15 10:00:00,TCB,27.1,26.9,26.95,26.979999542236328
1039,2023-03-15 11:00:00,TCB,27.1,27.1,27.15,27.079999923706055
1040,2023-03-15 13:00:00,TCB,27.15,27.05,27.1,27.1200008392334
1041,2023-03-15 14:00:00,TCB,27.2,27.1,27.15,27.100000381469727
1042,2023-03-16 09:00:00,TCB,26.8,26.7,26.75,26.850000381469727
1043,2023-03-16 10:00:00,TCB,26.75,26.7,26.75,26.829999923706055
