,date,code,open,high,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
972,2023-02-24 09:00:00,MBB,18.15,18.25,18.05,18.0,18.05,18.1299991607666
973,2023-02-24 10:00:00,MBB,18.05,18.05,17.95,17.85,17.9,17.989999771118164
974,2023-02-24 11:00:00,MBB,17.9,17.95,17.8,17.8,17.85,17.8799991607666
975,2023-02-24 13:00:00,MBB,17.8,17.85,17.8,17.7,17.75,17.780000686645508
976,2023-02-24 14:00:00,MBB,17.8,17.9,17.7,17.7,17.75,17.799999237060547
977,2023-02-27 09:00:00,MBB,17.45,17.5,17.4,17.35,17.4,17.440000534057617
978,2023-02-27 10:00:00,MBB,17.4,17.4,17.35,17.3,17.35,17.3700008392334
979,2023-02-27 11:00:00,MBB,17.35,17.35,17.35,17.25,17.3,17.31999969482422
980,2023-02-27 13:00:00,MBB,17.35,17.5,17.45,17.25,17.3,17.3700008392334
981,2023-02-27 14:00:00,MBB,17.45,17.5,17.25,17.25,17.3,17.420000076293945
982,2023-02-28 09:00:00,MBB,17.35,17.65,17.35,17.3,17.35,17.43000030517578
983,2023-02-28 10:00:00,MBB,17.4,17.5,17.4,17.3,17.35,17.40999984741211
984,2023-02-28 11:00:00,MBB,17.35,17.4,17.35,17.35,17.4,17.360000610351562
985,2023-02-28 13:00:00,MBB,17.4,17.4,17.2,17.15,17.2,17.350000381469727
986,2023-02-28 14:00:00,MBB,17.2,17.3,17.25,17.15,17.2,17.219999313354492
987,2023-03-01 09:00:00,MBB,17.15,17.25,17.15,17.0,17.05,17.15999984741211
988,2023-03-01 10:00:00,MBB,17.15,17.3,17.25,17.1,17.15,17.190000534057617
989,2023-03-01 11:00:00,MBB,17.25,17.35,17.3,17.2,17.25,17.270000457763672
990,2023-03-01 13:00:00,MBB,17.25,17.45,17.3,17.25,17.3,17.309999465942383
991,2023-03-01 14:00:00,MBB,17.3,17.65,17.65,17.3,17.35,17.40999984741211
992,2023-03-02 09:00:00,MBB,17.65,17.7,17.65,17.55,17.6,17.6299991607666
993,2023-03-02 10:00:00,MBB,17.7,17.7,17.5,17.5,17.55,17.649999618530273
994,2023-03-02 11:00:00,MBB,17.5,17.6,17.55,17.45,17.5,17.510000228881836
995,2023-03-02 13:00:00,MBB,17.55,17.6,17.4,17.35,17.4,17.520000457763672
996,2023-03-02 14:00:00,MBB,17.4,17.5,17.4,17.35,17.4,17.420000076293945
997,2023-03-03 09:00:00,MBB,17.5,17.5,17.4,17.2,17.3,17.43000030517578
998,2023-03-03 10:00:00,MBB,17.4,17.4,17.35,17.3,17.35,17.3700008392334
